scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
157,786.86536,575.75366,0.86872697,808.845,550.5838,0.95848805,748.966,470.4735,0.84158444
158,787.07446,575.89667,0.8778293,808.7602,551.1042,0.96327657,748.9744,470.45303,0.8248739
159,787.1879,575.9994,0.87942064,808.8656,551.0662,0.9481023,749.1895,471.90637,0.81390715
160,786.78534,575.49744,0.9146638,809.46045,551.08234,0.92150897,749.1815,472.53418,0.84795177
161,787.0389,577.16876,0.8664786,809.01215,550.94244,0.9451394,750.12274,472.81976,0.84600776
162,787.41284,577.68896,0.87880546,809.0808,550.42584,0.9674558,755.017,473.37335,0.76842237
163,787.122,577.42206,0.8768123,808.44635,549.8965,0.9799755,755.81177,472.3296,0.7442278
164,786.72034,577.28986,0.86506414,808.6383,550.58307,0.9614668,756.0186,473.2501,0.7197127
165,787.08716,577.43286,0.8976288,809.15405,550.6223,0.95342094,755.08984,472.9447,0.79206645
166,787.01465,577.321,0.87632453,809.2134,550.45636,0.97187907,754.17,473.0011,0.80362386
167,786.72687,577.29364,0.8389661,808.7971,550.3746,0.9537606,754.7823,473.07245,0.77119184
168,787.22156,577.69495,0.85799116,809.31726,550.68585,0.94785064,755.925,471.4206,0.8424955
169,787.27856,577.5633,0.860604,809.08844,550.2604,0.95982,757.0483,470.64282,0.86919665
170,787.0307,577.36224,0.8443329,809.1195,550.7127,0.96220464,759.51086,469.577,0.84973884
171,787.1713,577.61066,0.8773784,809.3378,550.71405,0.9448187,762.4905,468.82648,0.8640154
